-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in LST
Location: Latitude  -75.83   Longitude 180.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,4.74,2.67,1.42,0.24,0.0,0.0,0.0,0.05,1.19,3.96,5.83,6.44,2.21
ALLSKY_SFC_SW_DWN,2001,4.66,2.94,1.9,0.25,0.0,0.0,0.0,0.06,1.12,3.26,5.29,5.79,2.11
ALLSKY_SFC_SW_DWN,2002,4.63,3.17,1.2,0.22,0.0,0.0,0.0,0.05,1.03,3.62,6.48,8.35,2.4
ALLSKY_SFC_SW_DWN,2003,3.49,2.38,2.02,0.3,0.0,0.0,0.0,0.06,1.21,3.27,4.85,6.4,2.0
ALLSKY_SFC_SW_DWN,2004,3.72,2.72,1.85,0.27,0.0,0.0,0.0,0.06,1.26,3.4,4.95,6.07,2.02
ALLSKY_SFC_SW_DWN,2005,4.35,2.9,1.31,0.25,0.0,0.0,0.0,0.05,1.22,3.42,5.62,5.13,2.02
ALLSKY_SFC_SW_DWN,2006,4.59,2.81,1.1,0.26,0.0,0.0,0.0,0.05,0.88,3.72,5.65,5.08,2.01
ALLSKY_SFC_SW_DWN,2007,4.96,2.52,1.44,0.28,0.0,0.0,0.0,0.04,1.1,3.46,6.07,6.17,2.17
ALLSKY_SFC_SW_DWN,2008,3.76,2.82,1.88,0.27,0.0,0.0,0.0,0.08,1.14,3.43,5.85,6.25,2.12
ALLSKY_SFC_SW_DWN,2009,5.17,2.37,1.26,0.2,0.0,0.0,0.0,0.07,1.23,3.41,4.14,5.36,1.93
ALLSKY_SFC_SW_DWN,2010,4.37,2.5,1.43,0.29,0.0,0.0,0.0,0.07,1.16,3.44,5.0,5.55,1.98
ALLSKY_SFC_SW_DWN,2011,5.22,2.74,1.02,0.24,0.0,0.0,0.0,0.06,1.19,3.82,5.46,5.93,2.14
ALLSKY_SFC_SW_DWN,2012,5.27,2.88,1.01,0.2,0.0,0.0,0.0,0.06,1.09,3.5,5.71,5.11,2.07
ALLSKY_SFC_SW_DWN,2013,4.28,2.57,1.38,0.3,0.0,0.0,0.0,0.07,1.2,3.59,4.84,6.37,2.05
ALLSKY_SFC_SW_DWN,2014,4.89,2.69,1.17,0.26,0.0,0.0,0.0,0.05,1.29,3.36,6.79,5.78,2.19
ALLSKY_SFC_SW_DWN,2015,4.81,2.45,1.46,0.27,0.0,0.0,0.0,0.06,1.12,3.35,5.39,6.89,2.15
ALLSKY_SFC_SW_DWN,2016,3.52,2.98,1.35,0.22,0.0,0.0,0.0,0.04,1.11,3.27,5.58,5.74,1.98
ALLSKY_SFC_SW_DWN,2017,4.51,3.13,0.97,0.2,0.0,0.0,0.0,0.05,1.19,3.69,4.94,5.82,2.04
ALLSKY_SFC_SW_DWN,2018,4.48,2.85,1.15,0.25,0.0,0.0,0.0,0.05,0.97,3.45,5.09,5.56,1.99
ALLSKY_SFC_SW_DWN,2019,4.54,2.37,1.06,0.27,0.0,0.0,0.0,0.04,1.04,3.3,4.91,5.55,1.92
ALLSKY_SFC_SW_DWN,2020,4.33,2.81,1.21,0.23,0.0,0.0,0.0,0.05,1.22,3.34,5.42,6.26,2.07
ALLSKY_SFC_SW_DWN,2021,4.86,2.92,1.28,0.2,0.0,0.0,0.0,0.07,1.06,3.37,4.76,4.69,1.93
ALLSKY_SFC_SW_DWN,2022,5.43,2.98,1.26,0.21,0.0,0.0,0.0,0.07,1.25,3.31,6.33,5.85,2.22
ALLSKY_SFC_SW_DWN,2023,5.21,3.29,1.34,0.3,0.0,0.0,0.0,0.07,0.95,3.26,5.4,5.51,2.11
PRECTOTCORR,2000,0.48,0.98,1.16,1.12,0.98,0.64,0.8,0.96,0.92,0.69,1.22,0.51,0.87
PRECTOTCORR,2001,0.73,0.46,0.46,1.34,0.54,0.94,0.77,0.38,0.4,0.71,0.49,1.02,0.69
PRECTOTCORR,2002,0.75,0.41,1.55,1.04,1.53,1.42,0.51,0.84,0.92,0.93,1.61,0.56,1.01
PRECTOTCORR,2003,1.37,0.53,1.16,0.49,1.14,1.15,1.07,0.55,1.64,0.64,1.63,0.71,1.01
PRECTOTCORR,2004,0.76,0.9,0.58,0.65,0.45,1.58,0.89,0.67,0.66,0.52,0.37,0.3,0.69
PRECTOTCORR,2005,0.88,0.69,0.5,0.51,1.36,1.28,0.83,0.89,0.29,0.18,0.35,0.63,0.7
PRECTOTCORR,2006,0.79,1.38,0.77,0.48,0.63,1.03,0.38,0.72,1.27,0.85,0.46,0.69,0.79
PRECTOTCORR,2007,0.9,1.09,1.38,0.66,0.36,0.51,1.1,0.67,0.82,0.51,0.7,0.62,0.78
PRECTOTCORR,2008,1.73,2.53,0.4,0.56,0.47,1.59,0.66,0.31,0.48,0.84,0.36,0.39,0.86
PRECTOTCORR,2009,0.7,1.45,1.04,1.22,0.45,0.76,0.8,0.74,0.39,0.82,1.24,0.38,0.83
PRECTOTCORR,2010,0.89,1.22,1.33,0.93,0.33,0.49,0.59,0.47,0.95,0.25,0.24,0.48,0.68
PRECTOTCORR,2011,0.41,1.81,2.31,0.73,0.97,0.81,1.0,0.47,1.0,0.52,0.52,0.36,0.91
PRECTOTCORR,2012,0.82,1.06,1.15,0.71,1.36,0.83,0.76,1.66,1.4,1.0,0.59,0.55,0.99
PRECTOTCORR,2013,1.17,1.01,0.94,0.98,1.71,1.18,0.66,0.42,0.66,0.66,0.34,0.47,0.85
PRECTOTCORR,2014,0.91,1.37,1.08,0.31,0.79,0.45,0.4,1.38,0.52,1.45,0.54,0.39,0.8
PRECTOTCORR,2015,0.84,1.17,0.26,0.41,0.66,1.07,0.64,1.3,0.53,0.84,0.49,0.58,0.73
PRECTOTCORR,2016,1.2,0.53,0.56,0.94,0.49,0.56,0.53,0.78,0.45,0.61,0.37,0.57,0.63
PRECTOTCORR,2017,1.17,0.82,1.48,1.47,0.71,0.64,1.03,1.24,0.35,1.57,0.32,0.77,0.96
PRECTOTCORR,2018,1.03,1.26,1.59,0.74,0.5,0.69,0.9,0.44,1.23,0.66,0.49,0.82,0.86
PRECTOTCORR,2019,0.95,1.9,1.48,0.41,0.74,0.88,0.57,1.47,0.63,0.68,0.32,1.29,0.94
PRECTOTCORR,2020,0.5,1.16,2.11,0.44,0.6,0.49,1.22,1.17,0.68,0.41,0.26,0.28,0.78
PRECTOTCORR,2021,1.24,0.47,0.97,1.39,0.89,0.72,0.64,0.56,0.99,0.2,0.33,0.39,0.73
PRECTOTCORR,2022,0.47,0.86,1.2,0.98,0.54,0.35,0.47,0.53,0.37,0.45,0.77,0.95,0.66
PRECTOTCORR,2023,0.54,0.33,0.64,0.47,0.62,0.47,0.74,0.54,0.97,0.61,0.28,0.65,0.57
PS,2000,98.13,98.51,98.72,98.3,98.5,98.93,98.41,98.57,99.3,98.04,98.08,100.07,98.63
PS,2001,99.66,99.29,98.9,98.23,98.79,98.26,98.79,98.7,98.14,97.32,97.79,97.87,98.48
PS,2002,98.66,98.14,99.24,98.26,99.16,99.63,99.25,98.22,98.68,99.24,98.65,98.16,98.77
PS,2003,99.39,99.3,98.86,98.07,97.43,99.35,97.9,98.26,97.84,97.48,98.1,99.53,98.46
PS,2004,98.79,99.83,98.86,98.37,98.65,97.98,98.04,98.48,98.51,98.2,97.86,99.42,98.58
