-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in LST
Location: Latitude  -72.5   Longitude -180.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,4.8,2.66,1.57,0.39,0.01,0.0,0.0,0.27,1.8,4.4,6.73,6.96,2.47
ALLSKY_SFC_SW_DWN,2001,5.72,3.96,1.75,0.49,0.01,0.0,0.0,0.19,1.68,3.83,6.61,5.37,2.47
ALLSKY_SFC_SW_DWN,2002,4.56,3.2,1.19,0.32,0.01,0.0,0.0,0.21,1.59,3.64,6.23,6.82,2.31
ALLSKY_SFC_SW_DWN,2003,4.54,2.41,1.98,0.6,0.01,0.0,0.0,0.18,1.54,3.93,6.15,6.32,2.31
ALLSKY_SFC_SW_DWN,2004,4.0,2.92,1.78,0.43,0.0,0.0,0.0,0.19,1.72,3.82,6.48,6.37,2.31
ALLSKY_SFC_SW_DWN,2005,4.2,2.91,1.3,0.41,0.01,0.0,0.0,0.15,1.72,3.77,6.47,5.38,2.19
ALLSKY_SFC_SW_DWN,2006,4.93,2.47,0.96,0.35,0.01,0.0,0.0,0.18,1.6,3.74,6.0,6.6,2.24
ALLSKY_SFC_SW_DWN,2007,4.32,2.66,1.42,0.4,0.01,0.0,0.0,0.2,1.64,3.84,6.66,7.91,2.42
ALLSKY_SFC_SW_DWN,2008,4.98,2.92,1.96,0.48,0.0,0.0,0.0,0.2,1.79,3.96,6.54,6.74,2.46
ALLSKY_SFC_SW_DWN,2009,4.43,2.24,1.24,0.4,0.01,0.0,0.0,0.21,1.74,4.05,5.91,5.31,2.13
ALLSKY_SFC_SW_DWN,2010,3.41,2.57,1.71,0.51,0.01,0.0,0.0,0.21,1.65,3.98,5.91,4.98,2.08
ALLSKY_SFC_SW_DWN,2011,4.37,2.37,1.03,0.28,0.01,0.0,0.0,0.2,1.58,4.0,6.67,7.49,2.33
ALLSKY_SFC_SW_DWN,2012,4.8,2.74,1.18,0.42,0.0,0.0,0.0,0.17,1.56,3.81,6.58,6.64,2.33
ALLSKY_SFC_SW_DWN,2013,3.88,2.23,1.67,0.53,0.01,0.0,0.0,0.22,1.68,4.12,6.02,5.71,2.17
ALLSKY_SFC_SW_DWN,2014,4.62,2.67,1.03,0.41,0.01,0.0,0.0,0.19,1.9,3.87,6.7,7.78,2.43
ALLSKY_SFC_SW_DWN,2015,4.37,2.59,1.62,0.5,0.01,0.0,0.0,0.18,1.68,3.86,6.46,5.66,2.24
ALLSKY_SFC_SW_DWN,2016,3.44,2.75,1.44,0.4,0.01,0.0,0.0,0.19,1.69,3.73,6.64,5.8,2.17
ALLSKY_SFC_SW_DWN,2017,3.4,2.43,1.04,0.26,0.0,0.0,0.0,0.17,1.71,4.05,6.34,6.42,2.15
ALLSKY_SFC_SW_DWN,2018,4.29,2.65,1.07,0.4,0.01,0.0,0.0,0.22,1.69,3.84,6.43,5.61,2.18
ALLSKY_SFC_SW_DWN,2019,3.76,2.39,0.95,0.4,0.01,0.0,0.0,0.16,1.57,3.83,6.47,6.33,2.16
